id	ean	category	quantity	notsent	name	cnName	lastWeek
667	4250755336053	DS-Ablauf	49	0	PU006 ohne Überlauf	PU06	56|15|8|7|0
669	4250755344010	Rav22	6	2	Ravenna22K 70 (NO EBAY)	DWA190 D700	10|5|2|0|0
670	4250755344027	Rav22	5	3	Ravenna22K 75	DWA190 D750	41|15|7|1|0
671	4250755344034	Rav22	5	1	Ravenna22K 80	DWA190 D800	30|5|2|2|0
672	4250755344041	Rav22	7	1	Ravenna22K 85	DWA190 D850	30|6|4|2|0
673	4250755344058	Rav22	25	7	Ravenna22K 90	DWA190 D900	55|19|8|3|1
675	4250755344065	Deleted-element	0	0	Ravenna22K 95	DWA190 D950 (1)	0|0|0|0|0
677	4250755344089	Deleted-element	0	0	Teramo22K 105 / Ravenna22K 105	DWA190 D1050	0|0|0|0|0
678	4250755344096	Rav22	10	0	Teramo22K 110 / Ravenna22K 110	DWA190 D1100	2|0|0|0|0
679	4250755344102	Deleted-element	0	0	Teramo22K 115 / Ravenna22K 115	DWA190 D1150	0|0|0|0|0
680	4250755344119	Rav22	21	0	Teramo22K 120 / Ravenna22K 120	DWA190 D1200	6|1|1|1|0
681	4250755344126	Rav22	0	0	Teramo22K 125 / Ravenna22K 125	DWA190 D1250	0|0|0|0|0
682	4250755344133	Rav22	11	0	Teramo22K 130 / Ravenna22K 130	DWA190 D1300	0|0|0|0|0
683	4250755344140	Deleted-element	0	0	Teramo22K 135 / Ravenna22K 135	DWA190 D1350	0|0|0|0|0
684	4250755344157	Rav22	4	1	Teramo22K 140 / Ravenna22K 140	DWA190 D1400	0|0|0|0|0
685	4250755344164	Deleted-element	0	0	Teramo22K 145 / Ravenna22K 145	DWA190 D1450	0|0|0|0|0
686	4250755344171	Deleted-element	0	0	Teramo22K 150 / Ravenna22K 150	DWA190 D1500	0|0|0|0|0
689	4250755344072	Rav22	21	6	Ravenna22K 100	DWA190 D1000	37|13|6|4|0
690	4250755344287	Rav22S	7	1	Ravenna22s 70	DWA190 D700S	10|3|1|1|1
691	4250755344294	Rav22S	13	1	Ravenna22s 75	DWA190 D750S	8|2|2|2|0
692	4250755344300	Rav22S	27	0	Ravenna22s 80	DWA190 D800S	18|4|3|3|0
693	4250755344317	Rav22S	9	4	Ravenna22s 85	DWA190 D850S	30|13|2|1|1
694	4250755344324	Rav22S	16	2	Ravenna22s 90	DWA190 D900S	38|18|7|6|1
695	4250755344331	Deleted-element	0	0	Ravenna22s 95	DWA190 D950S (einzeln)	0|0|0|0|0
696	4250755344348	Rav22S	19	3	Ravenna22s 100	DWA190 D1000S	37|8|2|2|0
698	4250755344355	Deleted-element	0	0	Teramo22s 105 / Ravenna22s 105	DWA190 D1050S	0|0|0|0|0
699	4250755344362	Rav22S	8	0	Teramo22s 110 / Ravenna22s 110	DWA190 D1100S	2|1|1|0|0
701	4250755344386	Rav22S	16	0	Teramo22s 120 / Ravenna22s 120	DWA190 D1200S	0|0|0|0|0
702	4250755344393	Deleted-element	0	0	Teramo22s 125 / Ravenna22s 125	DWA190 D1250S	0|0|0|0|0
703	4250755344409	Rav22S	7	0	Teramo22s 130 / Ravenna22s 130	DWA190 D1300S	2|1|1|0|0
704	4250755344416	Deleted-element	0	0	Teramo22s 135 / Ravenna22s 135	DWA190 D1350S	0|0|0|0|0
705	4250755344423	Rav22S	0	0	Teramo22s 140 / Ravenna22s 140	DWA190 D1400S	0|0|0|0|0
706	4250755344430	Deleted-element	0	0	Teramo22s 145 / Ravenna22s 145	DWA190 D1450S	0|0|0|0|0
707	4250755344447	Deleted-element	0	0	Teramo22s 150 / Ravenna22s 150	DWA190 D1500S	0|0|0|0|0
708	4250755399010	Rav01	-1	3	Ravenna01K Seiten 80	MMD01 F 800	18|1|1|0|0
709	4250755399027	Rav01	10	6	Ravenna01K Seiten 90	MMD01 F 900	49|17|13|8|4
710	4250755399034	Rav01	48	3	Ravenna01K Seiten 100	MMD01 F 1000	25|6|2|0|0
711	4250755399041	Rav01	48	12	Ravenna01K Tür	MMD01 D	92|24|16|8|4
712	4250755321660	Rav04_Tür	5	2	Ravenna04K Tür 90	MMD04 D+F 900	15|6|0|0|0
713	4250755321677	Rav04_Tür	15	4	Ravenna04K Tür 100	MMD04 D+F 1000	36|16|13|2|2
714	4250755321684	Rav04_Tür	3	8	Ravenna04K Tür 120	MMD04 D+F 1200	53|24|10|2|1
715	4250755325569	WP-Cortona	34	5	Cortona112S	DA112 S	36|7|4|3|1
717	4250755399195	Rav01S	48	2	Ravenna01S Tür	MMD01 D S	72|14|2|2|2
718	4250755399164	Rav01S	15	0	Ravenna01S Seiten 80	MMD01 F 800 S	20|5|0|0|0
719	4250755399171	Rav01S	24	0	Ravenna01S Seiten 90	MMD01 F 900 S	21|0|0|0|0
720	4250755399188	Rav01S	19	2	Ravenna01S Seiten 100	MMD01 F 1000  S	31|9|2|2|2
721	4250755321691	Rav04S_Tür	14	1	Ravenna04S Tür 90	MMD04 D+F 900 S	8|4|1|0|0
722	4250755321707	Rav04S_Tür	5	1	Ravenna04S Tür 100	MMD04 D+F 1000 S	10|4|4|3|1
723	4250755321714	Rav04S_Tür	6	1	Ravenna04S Tür 120	MMD04 D+F 1200 S	8|1|1|0|0
724	4250755321615	Rav04S/05S_ST	13	2	Ravenna04S/05S Seiten 70	MMD04/05 F 700 S	10|3|3|1|0
725	4250755321622	Rav04S/05S_ST	8	2	Ravenna04S/05S Seiten 75	MMD04/05 F 750 S	13|7|4|2|1
726	4250755321639	Rav04S/05S_ST	13	1	Ravenna04S/05S Seiten 80	MMD04/05 F 800 S	24|3|1|1|0
727	4250755321646	Rav04S/05S_ST	5	1	Ravenna04S/05S Seiten 90	MMD04/05 F 900 S	14|7|3|1|0
728	4250755321653	Rav04S/05S_ST	0	1	Ravenna04S/05S Seiten 100	MMD04/05 F 1000 S	11|0|0|0|0
729	4250755321585	Rav05S_Tür	5	1	Ravenna05S Tür 80	MMD05 D+F 800 S	6|2|1|1|0
730	4250755321592	Rav05S_Tür	15	2	Ravenna05S Tür 90	MMD05 D+F 900 S	24|4|1|0|0
731	4250755321608	Rav05S_Tür	6	0	Ravenna05S Tür 100	MMD05 D+F 1000 S	7|1|1|0|0
732	4250755399348	Rav02	1	2	Ravenna02K Tür 80	MMD02 D 800	3|2|2|0|0
733	4250755399355	Rav02	23	0	Ravenna02K Tür 90/100	MMD02 D 900/1000	16|5|0|0|0
